"","COMPNOS","NatureCode","INCIDENT_TYPE_DESCRIPTION","MAIN_CRIMECODE","REPTDISTRICT","REPORTINGAREA","FROMDATE","WEAPONTYPE","Shooting","DOMESTIC","SHIFT","Year","Month","DAY_WEEK","UCRPART","X","Y","STREETNAME","XSTREETNAME","Location"
"4742",120459842,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",187,"07/25/2012 12:42:00 PM","Unarmed","No","No","Day",2012,7,"Wednesday","Part One",775537.47247669,2944343.53118986,"BOSTON ST","","(42.32658135, -71.05856456)"
"4743",120459724,"BERPT ","RESIDENTIAL BURGLARY","05RB","D4",627,"07/25/2012 02:30:00 PM","Unarmed","No","No","Day",2012,7,"Wednesday","Part One",763859.40265703,2950716.35243368,"BROOKLINE AV","","(42.34422635, -71.10163955)"
"4744",120459596,"BERPT ","RESIDENTIAL BURGLARY","05RB","B2",264,"07/25/2012 07:26:00 PM","Other","No","No","First",2012,7,"Wednesday","Part One",770353.99596703,2941968.67176636,"BLUE HILL AV","","(42.32013665, -71.07777631)"
"4745",120459591,"IVPER ","RESIDENTIAL BURGLARY","05RB","C11",359,"07/24/2012 07:00:00 AM","Other","No","No","Last",2012,7,"Tuesday","Part One",772239.07651443,2932909.2617356,"REGINA RD","","(42.29525136, -71.07097456)"
"4746",120459261,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",943,"07/05/2012 08:00:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",769515.65807677,2925332.03181136,"WOODRUFF WY","","(42.2744961, -71.08117819)"
"4747",120459227,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",792,"07/25/2012 03:21:00 PM","Other","No","No","Day",2012,7,"Wednesday","Part One",753362.1976016,2951120.70890844,"SUMMIT AV","","(42.34546389, -71.14046241)"
"4748",120458950,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",459,"07/25/2012 09:15:00 AM","Unarmed","No","No","Day",2012,7,"Wednesday","Part One",769588.97814011,2935729.29940261,"SEAVER ST","","(42.30302586, -71.08071843)"
"4749",120458916,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",466,"07/25/2012 01:55:00 PM","Other","No","No","Day",2012,7,"Wednesday","Part One",766152.22221836,2928621.87365685,"GOODALE RD","","(42.2835683, -71.09354788)"
"4750",120457496,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",201,"07/24/2012 09:25:00 PM","Other","No","No","First",2012,7,"Tuesday","Part One",777103.19014577,2949502.86699978,"ATHENS ST","","(42.34071635, -71.05267456)"
"4751",120457016,"BERPT ","RESIDENTIAL BURGLARY","05RB","E18",543,"07/21/2012 03:00:00 PM","Unarmed","No","No","Day",2012,7,"Saturday","Part One",756926.44441011,2918500.98707452,"AVILA RD","","(42.25591137, -71.12780454)"
